,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
469,2008-06-20,82.5,59.0,71.0,0,52.5,59.5,0.065,29.275,29.955,6.6,22.5,7.550000000000001
471,2008-06-21,82.5,61.5,72.5,2,52.5,61.0,0.01,29.265,29.939999999999998,6.35,29.0,7.35
473,2008-06-22,81.5,59.0,70.5,0,52.5,59.5,0.09,29.205,29.880000000000003,2.2,32.5,4.75
475,2008-06-23,76.5,56.5,67.0,-3,54.0,59.0,0.0,29.354999999999997,30.035,3.8499999999999996,3.5,6.4
477,2008-06-24,82.0,56.0,69.5,-2,52.5,60.0,0.0,29.465,30.14,4.699999999999999,18.0,5.6
479,2008-06-25,79.0,66.5,73.0,2,64.5,67.5,0.095,29.310000000000002,29.985,7.75,21.5,8.9
481,2008-06-26,86.5,70.5,78.5,7,66.5,70.5,0.0,29.18,29.85,6.55,25.5,7.55
483,2008-06-27,84.5,67.5,76.0,4,67.0,70.0,0.005,29.08,29.75,7.5,21.5,8.25
485,2008-06-28,83.5,65.0,74.5,3,55.0,63.0,0.0225,29.015,29.685000000000002,12.7,25.5,13.85
487,2008-06-29,76.0,60.5,68.5,-3,58.0,61.0,0.39999999999999997,29.104999999999997,29.759999999999998,7.6,30.5,9.899999999999999
489,2008-06-30,80.5,59.0,70.0,-2,49.5,58.0,0.0,29.310000000000002,29.97,5.75,34.5,9.35
491,2008-07-01,83.5,57.5,71.0,-1,50.5,60.0,0.0,29.27,29.96,8.149999999999999,23.5,8.15
493,2008-07-02,88.0,63.0,75.5,3,62.0,66.5,0.16,29.115000000000002,29.785,8.05,23.5,12.45
495,2008-07-03,71.0,57.0,64.0,-9,51.0,57.0,0.005,29.365000000000002,30.025,12.45,3.0,12.75
497,2008-07-04,75.5,55.0,65.5,-8,50.0,57.5,0.0,29.375,30.055,6.25,5.5,7.05
499,2008-07-05,79.5,55.5,67.5,-5,52.0,59.5,0.0,29.335,30.020000000000003,4.65,8.5,6.35
501,2008-07-06,87.5,61.0,74.5,1,57.5,65.0,0.0,29.245,29.93,8.8,19.0,9.15
503,2008-07-07,87.0,72.5,80.0,7,67.5,71.0,0.07,29.185000000000002,29.865000000000002,10.850000000000001,21.5,11.65
505,2008-07-08,85.5,58.0,78.0,5,67.5,71.0,0.15500000000000003,29.130000000000003,29.805,7.6,25.0,8.7
507,2008-07-09,85.0,67.0,76.0,3,55.0,63.5,0.0025,29.285,29.945,8.8,31.5,9.7
509,2008-07-10,83.0,64.0,73.5,0,62.5,66.5,0.575,29.295,29.979999999999997,8.3,23.0,8.899999999999999
511,2008-07-11,88.5,64.0,76.5,3,65.0,69.0,0.185,29.265,29.96,4.45,19.5,7.95
513,2008-07-12,82.0,65.5,74.0,0,63.5,66.5,0.69,29.22,29.880000000000003,8.05,26.0,10.65
515,2008-07-13,79.0,61.5,70.5,-2,53.5,61.0,0.0,29.15,29.835,12.85,27.0,13.100000000000001
517,2008-07-14,84.0,62.0,73.0,0,54.0,62.0,0.0,29.25,29.91,3.2,29.0,7.449999999999999
519,2008-07-15,90.5,64.0,77.5,2,62.5,68.5,0.0,29.33,29.990000000000002,7.3,22.5,7.8500000000000005
521,2008-07-16,90.5,72.0,81.5,7,66.5,70.5,0.0,29.415,30.08,5.1,22.0,7.300000000000001
523,2008-07-17,89.5,72.5,81.0,6,66.0,71.0,0.0,29.36,30.04,8.75,22.0,9.15
525,2008-07-18,88.5,73.5,81.0,6,67.5,71.5,0.0225,29.27,29.945,4.7,22.5,6.8
527,2008-07-19,79.0,68.5,74.0,-1,69.0,70.0,1.415,29.215,29.9,1.55,28.0,5.85
529,2008-07-20,86.0,68.0,77.0,3,68.0,71.0,0.585,29.225,29.9,5.3,26.0,6.35
531,2008-07-21,83.5,69.0,76.5,2,65.5,68.5,0.13,29.235,29.91,2.8499999999999996,2.5,7.7
533,2008-07-22,76.0,64.5,70.5,-4,60.0,64.0,0.0325,29.335,29.990000000000002,8.399999999999999,3.0,9.0
535,2008-07-23,81.0,60.0,71.0,-3,52.0,60.5,0.0,29.415,30.09,7.95,19.0,8.9
537,2008-07-24,82.0,59.5,71.0,-3,52.5,61.0,0.0,29.36,30.045,4.1,24.0,4.550000000000001
539,2008-07-25,83.0,63.0,73.5,-2,63.0,67.0,0.0,29.295,29.985,6.15,22.5,7.25
541,2008-07-26,84.5,66.0,75.5,1,58.0,65.5,0.0,29.25,29.93,7.7,30.5,8.4
543,2008-07-27,83.0,62.5,73.0,-1,58.0,64.5,0.0,29.189999999999998,29.880000000000003,5.9,24.0,6.75
545,2008-07-28,84.5,68.0,76.5,2,63.0,67.5,0.0,29.185000000000002,29.86,4.2,8.5,6.25
547,2008-07-29,88.5,67.5,78.5,3,67.0,70.5,0.14,29.175,29.84,6.15,20.0,7.9
549,2008-07-30,89.5,72.0,81.0,7,66.0,70.5,0.0,29.07,29.740000000000002,8.3,27.0,9.149999999999999
551,2008-07-31,89.0,71.5,80.5,7,68.0,71.0,0.32,29.085,29.75,5.25,27.0,6.35
553,2008-08-01,89.0,70.0,80.0,6,68.5,72.5,0.525,29.115000000000002,29.78,2.5,18.5,4.65
555,2008-08-02,80.5,66.5,73.5,0,59.5,65.0,0.0,29.259999999999998,29.915,8.5,3.0,9.2
557,2008-08-03,84.5,62.0,73.5,0,61.0,66.5,0.0,29.27,29.950000000000003,5.25,18.5,6.25
559,2008-08-04,87.5,69.5,79.0,6,68.5,70.5,1.51,29.21,29.895,3.0,18.5,9.05
561,2008-08-05,87.5,70.0,79.0,5,68.0,71.5,0.04,29.27,29.92,4.55,31.0,6.85
563,2008-08-06,84.0,67.0,76.0,3,60.0,66.0,0.005,29.32,29.990000000000002,6.1,29.5,7.5
565,2008-08-07,81.5,63.5,72.5,0,56.5,63.0,0.005,29.285,29.97,7.449999999999999,34.5,9.25
567,2008-08-08,78.5,63.5,71.0,-2,54.0,61.0,0.0,29.314999999999998,30.0,4.0,1.5,7.050000000000001
569,2008-08-09,79.0,61.5,70.5,-2,58.0,62.5,0.005,29.225,29.915,3.2,29.5,9.3
571,2008-08-10,74.0,59.5,67.0,-7,52.5,58.5,0.0,29.335,30.009999999999998,9.3,2.0,9.45
573,2008-08-11,76.5,59.5,68.0,-5,57.0,61.5,0.0,29.33,30.015,3.7,5.0,6.199999999999999
575,2008-08-12,77.0,61.5,69.5,-4,57.0,62.0,0.0,29.200000000000003,29.895,3.3,10.0,3.9
577,2008-08-13,78.0,66.0,72.5,0,59.0,63.0,0.0325,29.14,29.83,3.05,7.5,4.9
579,2008-08-14,78.5,64.0,71.5,-1,60.0,64.0,0.0025,29.255000000000003,29.92,7.5,3.0,8.15
581,2008-08-15,78.0,61.0,70.0,-2,54.5,61.0,0.0,29.465,30.119999999999997,7.2,3.5,8.5
583,2008-08-16,82.5,58.5,71.0,-1,53.0,61.0,0.0,29.43,30.119999999999997,5.6,29.0,6.45
585,2008-08-17,84.5,63.0,74.0,2,59.5,65.0,0.0,29.310000000000002,30.005000000000003,8.2,25.5,8.4
587,2008-08-18,85.0,65.0,75.0,3,57.5,64.5,0.0,29.295,29.975,6.9,26.5,7.2
589,2008-08-19,83.0,64.0,74.0,2,64.0,67.5,0.0,29.4,30.064999999999998,5.4,4.5,6.35
591,2008-08-20,81.0,66.0,73.5,2,59.5,65.0,0.0,29.43,30.11,6.65,9.5,7.550000000000001
593,2008-08-21,82.0,68.5,75.5,4,60.5,66.0,0.005,29.335,30.025,6.5,14.5,8.05
595,2008-08-22,83.5,73.5,79.0,7,68.5,71.5,0.0475,29.355,30.025,11.899999999999999,19.0,12.15
597,2008-08-23,88.5,68.5,79.0,7,67.0,70.5,0.0,29.335,30.009999999999998,7.95,24.5,9.5
599,2008-08-24,77.5,64.0,71.0,-1,57.0,62.5,0.0,29.36,30.04,8.2,3.0,9.85
601,2008-08-25,74.0,65.0,69.5,-1,55.0,60.5,0.0,29.384999999999998,30.07,11.899999999999999,5.0,12.25
603,2008-08-26,75.5,61.0,68.5,-1,54.5,60.5,0.0,29.314999999999998,30.020000000000003,7.800000000000001,7.0,8.95
605,2008-08-27,82.5,60.5,71.5,2,56.5,63.0,0.0,29.225,29.92,4.4,8.0,5.300000000000001
607,2008-08-28,80.5,65.0,73.0,2,64.5,67.5,0.04,29.125,29.810000000000002,5.7,19.0,6.6
609,2008-08-29,84.5,65.5,75.5,5,59.5,65.5,0.0225,29.265,29.92,3.55,18.5,6.3
611,2008-08-30,87.0,58.5,73.0,2,55.0,63.0,0.0,29.415,30.08,2.3,23.5,3.5
613,2008-08-31,89.5,62.5,76.0,6,56.5,64.5,0.0,29.439999999999998,30.119999999999997,4.8,12.5,5.300000000000001
615,2008-09-01,89.5,64.5,77.0,8,54.0,63.5,0.0,29.395000000000003,30.08,7.35,13.0,7.800000000000001
617,2008-09-02,94.5,66.5,81.0,12,61.0,68.0,0.0025,29.335,30.009999999999998,3.0,19.0,4.45
619,2008-09-03,77.0,67.0,72.5,4,61.0,64.5,0.01,29.325,30.005,10.5,1.0,11.25
621,2008-09-04,67.5,62.0,65.0,-4,62.0,63.0,2.79,29.104999999999997,29.810000000000002,11.399999999999999,3.0,12.3
623,2008-09-05,69.0,57.5,63.5,-3,57.0,59.5,0.005,29.25,29.925,5.1,33.0,5.800000000000001
625,2008-09-06,74.0,54.5,64.5,-3,54.0,58.5,0.0075,29.310000000000002,29.98,5.0,27.5,5.4
627,2008-09-07,74.0,56.5,65.5,-2,51.5,57.5,0.005,29.380000000000003,30.055,6.7,26.0,7.0
629,2008-09-08,68.5,52.5,61.0,-6,53.0,55.5,1.12,29.43,30.105,4.75,33.5,6.550000000000001
631,2008-09-09,68.5,49.0,59.0,-7,45.5,52.0,0.005,29.48,30.17,3.5,36.0,6.15
633,2008-09-10,72.0,49.0,60.5,-6,47.5,54.0,0.0,29.505,30.205,4.15,14.0,5.0
635,2008-09-11,79.0,56.0,67.5,2,57.0,61.5,0.0025,29.365,30.075,8.75,18.0,9.600000000000001
637,2008-09-12,73.0,69.0,71.0,6,67.5,68.5,0.495,29.25,29.955,6.3,22.5,6.949999999999999
639,2008-09-13,76.0,68.5,72.5,7,70.0,71.0,4.8549999999999995,29.005,29.705,6.800000000000001,21.5,9.399999999999999
641,2008-09-14,72.0,58.0,65.0,1,61.5,62.5,1.595,28.990000000000002,29.665,7.45,31.5,10.0
643,2008-09-15,64.0,54.0,59.0,-6,52.0,55.5,0.0075,29.439999999999998,30.095,5.800000000000001,33.5,6.199999999999999
645,2008-09-16,71.0,49.5,60.5,-4,50.0,55.0,0.0,29.494999999999997,30.185000000000002,5.3,23.5,6.0
647,2008-09-17,82.5,57.5,70.5,6,56.0,60.5,0.0,29.490000000000002,30.175,2.1500000000000004,28.5,7.55
649,2008-09-18,74.0,59.0,66.5,1,55.5,60.0,0.0,29.59,30.275,6.65,9.0,7.550000000000001
651,2008-09-19,78.0,56.0,67.5,3,53.5,59.5,0.0,29.494999999999997,30.195,5.949999999999999,18.5,6.4
653,2008-09-20,82.0,57.5,70.0,7,56.5,61.5,0.0,29.485,30.165,2.0,14.0,3.0
655,2008-09-21,80.0,59.0,69.5,7,61.0,64.5,0.0,29.575000000000003,30.25,3.4,7.0,3.9000000000000004
657,2008-09-22,81.5,62.0,72.0,9,59.0,64.0,0.0,29.619999999999997,30.305,6.800000000000001,11.5,7.65
659,2008-09-23,82.5,61.0,72.0,10,56.5,62.5,0.0,29.59,30.285,6.8,15.0,7.65
661,2008-09-24,82.0,59.5,71.0,9,58.0,63.0,0.1,29.57,30.259999999999998,2.6500000000000004,22.0,4.75
663,2008-09-25,77.5,64.5,71.0,9,61.0,64.5,0.0,29.564999999999998,30.259999999999998,6.15,4.0,6.75
665,2008-09-26,78.5,59.5,69.0,9,54.5,60.5,0.0,29.445,30.15,3.25,6.0,4.449999999999999
667,2008-09-27,80.5,54.0,67.5,7,54.0,60.0,0.0,29.36,30.049999999999997,1.3,5.0,2.9000000000000004
669,2008-09-28,68.5,58.5,64.0,4,57.0,60.0,0.0,29.435000000000002,30.119999999999997,7.25,4.0,7.6
671,2008-09-29,64.5,55.0,60.0,0,56.0,58.0,0.46499999999999997,29.285,29.994999999999997,2.55,33.0,4.6
673,2008-09-30,60.0,48.0,54.5,-5,44.5,49.5,0.005,29.240000000000002,29.945,10.350000000000001,31.0,10.5
675,2008-10-01,61.5,46.0,54.0,-4,40.5,47.0,0.0,29.27,29.965,11.05,33.0,11.05
677,2008-10-02,61.5,42.5,52.5,-6,40.0,47.0,0.0,29.21,29.915,9.1,28.0,9.649999999999999
679,2008-10-03,59.5,46.5,53.0,-5,42.5,48.0,0.01,29.369999999999997,30.045,6.25,4.5,8.0
681,2008-10-04,60.5,40.0,50.5,-7,38.5,45.5,0.0,29.54,30.23,3.1500000000000004,11.0,4.35
683,2008-10-05,61.0,43.5,52.5,-6,42.0,48.5,0.045,29.54,30.244999999999997,6.05,11.0,6.9
685,2008-10-06,69.5,55.0,62.5,6,46.5,54.0,0.0,29.52,30.23,9.7,11.5,9.899999999999999
687,2008-10-07,64.0,56.0,60.5,4,52.0,56.0,0.8300000000000001,29.275,30.01,9.9,13.5,11.100000000000001
689,2008-10-08,63.5,51.0,57.5,1,51.5,54.5,0.24,29.165,29.855,7.45,26.0,8.2
691,2008-10-09,69.0,47.5,58.5,3,38.5,49.0,0.0,29.384999999999998,30.05,4.7,29.0,5.3
693,2008-10-10,72.5,44.0,58.5,2,41.5,50.5,0.0,29.494999999999997,30.175,5.05,11.0,6.4
695,2008-10-11,79.5,53.0,66.5,11,50.0,57.0,0.0,29.549999999999997,30.24,4.05,14.0,5.0
697,2008-10-12,85.0,59.5,72.5,17,55.0,61.5,0.0,29.58,30.265,5.05,15.5,5.699999999999999
699,2008-10-13,78.0,62.5,70.5,16,57.5,63.0,0.0,29.505,30.205,8.0,20.0,8.399999999999999
701,2008-10-14,69.5,54.0,62.0,8,43.0,51.5,0.005,29.515,30.215,1.75,32.0,7.0
703,2008-10-15,63.5,48.5,56.0,2,50.5,53.5,0.27,29.365000000000002,30.055,3.9000000000000004,32.0,6.55
705,2008-10-16,59.0,43.5,51.5,-1,38.5,44.5,0.0,29.545,30.244999999999997,6.4,35.0,7.75
707,2008-10-17,56.5,43.5,50.0,-2,39.5,45.0,0.0025,29.560000000000002,30.255000000000003,6.0,36.0,7.2
709,2008-10-18,60.0,44.5,52.5,1,40.5,46.0,0.095,29.615,30.32,2.25,7.0,5.699999999999999
711,2008-10-19,62.0,42.0,52.0,0,37.0,45.5,0.0,29.53,30.244999999999997,11.3,19.0,11.65
713,2008-10-20,55.5,43.5,49.5,-1,42.5,46.5,0.245,29.509999999999998,30.21,3.6,31.0,7.5
715,2008-10-21,55.0,38.5,47.0,-3,36.0,42.5,0.0,29.67,30.37,6.9,2.5,8.95
717,2008-10-22,53.0,37.5,45.5,-6,29.5,40.0,0.0,29.68,30.395,12.05,12.0,12.85
719,2008-10-23,59.0,40.5,50.0,1,35.0,43.5,0.125,29.53,30.27,11.05,12.0,11.3
721,2008-10-24,55.0,44.5,50.0,0,44.0,47.0,0.475,29.215,29.965,5.449999999999999,19.5,6.5
723,2008-10-25,53.0,43.0,48.0,0,40.5,44.5,0.005,29.055,29.78,12.350000000000001,22.5,12.75
725,2008-10-26,56.0,36.5,46.5,-1,33.0,41.0,0.0075,29.135,29.805,17.35,27.0,18.1
727,2008-10-27,47.0,33.5,40.5,-8,27.5,35.0,0.005,29.54,30.205,13.55,31.0,14.15
729,2008-10-28,45.0,31.5,38.5,-9,23.0,33.0,0.0,29.57,30.299999999999997,10.2,30.0,10.600000000000001
731,2008-10-29,51.0,32.5,42.0,-5,24.5,34.5,0.0,29.505,30.215,2.7,30.5,6.15
733,2008-10-30,62.5,32.5,48.0,1,31.5,41.0,0.0,29.61,30.32,9.9,19.0,9.9
735,2008-10-31,70.5,48.5,59.5,13,46.0,51.0,0.0,29.605,30.3,5.85,22.0,7.65
737,2009-05-01,61.0,47.0,54.0,0,41.0,47.5,0.03,29.295,29.98,8.25,29.0,8.55
739,2009-05-02,65.5,44.5,55.0,1,33.5,45.5,0.0,29.245,29.945,9.0,26.5,9.35
741,2009-05-03,70.0,44.0,57.5,3,34.5,47.5,0.0,29.225,29.92,4.3,26.0,4.85
743,2009-05-04,70.0,46.0,58.5,3,35.0,47.5,0.0,29.34,30.02,6.8,9.0,8.0
745,2009-05-05,70.5,51.5,61.0,5,40.5,50.5,0.0,29.25,29.95,5.3,12.5,5.95
747,2009-05-06,75.0,53.5,64.5,8,51.0,55.5,0.765,29.09,29.795,6.35,19.0,7.65
749,2009-05-07,77.0,56.0,67.0,12,52.5,57.5,0.11,29.045,29.735,8.35,24.5,9.75
751,2009-05-08,75.5,55.0,65.5,9,54.0,58.5,0.015,28.97,29.675,4.65,20.5,6.05
753,2009-05-09,63.5,45.5,55.0,-1,44.0,48.5,0.0025,29.225,29.87,5.75,28.5,11.55
755,2009-05-10,67.0,41.5,54.5,-2,39.5,46.5,0.01,29.439999999999998,30.11,4.9,30.0,8.7
757,2009-05-11,61.0,39.5,50.5,-7,34.5,44.0,0.0,29.5,30.2,1.4,7.5,4.55
759,2009-05-12,71.5,41.5,56.5,-2,33.0,47.0,0.0,29.41,30.13,9.2,16.0,9.55
761,2009-05-13,70.5,53.5,62.5,4,57.0,59.0,0.79,29.045,29.765,13.65,18.5,15.6
763,2009-05-14,68.5,54.0,61.5,3,44.0,52.5,0.0025,29.345,30.0,10.8,27.0,11.0
765,2009-05-15,62.0,53.5,58.0,-1,51.5,54.5,0.5449999999999999,29.310000000000002,29.994999999999997,5.2,15.5,7.300000000000001
767,2009-05-16,62.0,46.0,54.5,-5,40.5,49.5,0.02,29.384999999999998,30.05,11.0,29.5,12.45
769,2009-05-17,61.0,40.0,50.5,-8,27.5,42.0,0.0,29.635,30.32,1.75,21.0,6.35
771,2009-05-18,66.5,42.5,54.5,-7,31.5,45.0,0.005,29.58,30.295,9.45,19.0,9.7
773,2009-05-19,80.0,53.0,66.5,6,43.5,54.5,0.0,29.515,30.215,12.9,21.0,13.100000000000001
775,2009-05-20,84.5,61.0,73.0,12,43.5,57.0,0.0025,29.435,30.13,13.15,20.0,13.35
777,2009-05-21,84.5,60.0,72.5,11,48.5,59.0,0.0,29.41,30.09,7.949999999999999,24.0,11.850000000000001
779,2009-05-22,69.5,54.5,62.0,0,46.5,53.5,0.0,29.48,30.17,10.2,3.5,10.649999999999999
781,2009-05-23,79.5,52.5,66.0,4,50.5,57.5,0.0025,29.36,30.055,4.5,7.5,5.6
783,2009-05-24,70.5,55.5,63.0,1,46.5,53.5,0.0,29.365000000000002,30.060000000000002,10.55,3.5,10.9
785,2009-05-25,65.5,55.0,60.5,-1,44.5,52.0,0.06,29.305,30.009999999999998,9.5,6.0,10.15
787,2009-05-26,75.0,54.5,65.0,2,52.5,56.5,1.555,29.104999999999997,29.814999999999998,6.6,5.5,7.3
789,2009-05-27,74.0,56.5,65.5,2,59.0,61.5,0.0125,28.985,29.675,5.2,24.0,7.75
791,2009-05-28,63.0,54.5,59.0,-5,51.0,54.0,0.0,29.085,29.755000000000003,6.8,29.5,8.2
793,2009-05-29,75.5,52.5,64.0,-2,49.0,55.0,0.0025,29.200000000000003,29.875,2.35,31.5,6.85
795,2009-05-30,79.0,51.5,65.5,1,46.0,54.5,0.005,29.119999999999997,29.805,2.35,28.0,6.699999999999999
797,2009-05-31,72.5,47.0,60.0,-5,42.0,51.0,0.0,29.235,29.935000000000002,2.8,9.5,5.449999999999999
799,2009-06-01,79.0,51.5,65.5,1,53.5,57.5,0.635,29.22,29.884999999999998,1.1,34.0,10.55
801,2009-06-02,60.5,49.0,55.0,-10,46.5,50.5,0.09,29.39,30.08,7.8500000000000005,3.0,8.6
803,2009-06-03,61.0,45.0,53.0,-12,39.5,47.0,0.0,29.445,30.14,10.75,3.0,11.05
805,2009-06-04,68.0,44.5,56.5,-9,37.5,48.5,0.0,29.335,30.05,4.95,4.5,6.15
807,2009-06-05,79.5,45.5,63.0,-3,43.5,54.0,0.0,29.205,29.91,6.05,25.5,6.95
809,2009-06-06,64.5,53.0,59.0,-9,46.5,51.5,0.0125,29.23,29.925,5.45,4.0,7.45
811,2009-06-07,73.5,54.0,64.0,-3,53.5,58.0,0.0225,29.175,29.865000000000002,2.1,9.5,7.300000000000001
813,2009-06-08,81.0,53.5,67.5,0,60.5,64.0,0.375,29.085,29.765,6.15,24.5,9.6
815,2009-06-09,67.0,55.5,61.5,-5,53.0,56.0,0.005,29.259999999999998,29.94,5.2,7.0,7.1
817,2009-06-10,67.0,54.5,61.0,-6,49.5,54.0,0.025,29.18,29.884999999999998,8.25,4.5,8.95
819,2009-06-11,62.0,53.0,58.0,-8,52.0,54.0,0.575,29.14,29.825,9.5,2.0,9.65
821,2009-06-12,73.0,49.5,61.5,-6,49.0,55.0,0.005,29.27,29.95,4.7,6.5,6.25
823,2009-06-13,67.0,55.0,61.0,-7,51.5,55.0,0.32,29.310000000000002,29.994999999999997,6.550000000000001,4.5,7.15
825,2009-06-14,76.5,52.5,64.5,-4,49.0,57.0,0.0,29.314999999999998,30.005000000000003,4.8,4.5,5.25
827,2009-06-15,81.0,55.0,68.0,-1,49.0,58.0,0.0,29.310000000000002,30.0,6.45,9.0,7.050000000000001
829,2009-06-16,71.0,61.5,66.5,-4,56.0,60.5,1.15,29.18,29.880000000000003,10.75,10.5,11.25
831,2009-06-17,72.0,62.0,67.0,-3,59.5,62.5,0.0,29.185000000000002,29.875,2.8,35.0,6.45
833,2009-06-18,80.5,62.0,71.5,1,63.5,67.0,0.11499999999999999,29.115,29.79,5.2,16.5,6.85
835,2009-06-19,87.0,65.5,76.5,6,67.5,69.5,2.42,29.0,29.689999999999998,6.75,18.0,11.05
837,2009-06-20,87.5,68.5,78.5,8,65.0,70.0,0.0,29.104999999999997,29.75,8.3,28.5,8.6
839,2009-06-21,85.0,70.5,78.0,7,63.5,68.5,0.0075,29.145000000000003,29.810000000000002,3.05,8.0,3.7
841,2009-06-22,89.0,69.0,79.5,9,67.0,71.0,0.075,29.119999999999997,29.78,4.65,11.5,6.4
843,2009-06-23,93.0,73.0,83.5,13,68.5,73.0,0.0,29.189999999999998,29.86,2.3,13.5,4.0
845,2009-06-24,93.5,74.0,84.0,14,68.0,73.0,0.41000000000000003,29.185000000000002,29.86,2.0,22.5,5.05
847,2009-06-25,93.5,75.5,85.0,14,68.5,73.0,0.0025,29.115,29.785,2.1,29.0,4.75
849,2009-06-26,86.0,70.5,78.5,7,60.5,67.0,0.0,29.2,29.84,6.4,4.0,8.1
851,2009-06-27,89.5,64.5,77.5,5,60.5,67.0,0.175,29.14,29.810000000000002,5.55,21.5,6.9
853,2009-06-28,83.0,67.0,75.5,4,53.0,62.0,0.0,29.04,29.72,13.649999999999999,29.0,14.1
855,2009-06-29,77.5,64.0,71.0,-1,54.0,61.0,0.0,28.92,29.595,12.8,30.0,13.399999999999999
857,2009-06-30,67.0,60.0,64.0,-9,53.0,57.5,0.0,28.975,29.645,8.5,30.0,8.7
859,2009-07-01,65.0,57.0,61.0,-11,53.0,56.5,0.0125,29.1,29.765,7.3999999999999995,31.5,8.05
861,2009-07-02,73.0,59.5,66.5,-6,54.5,60.0,0.0,29.285,29.945,7.050000000000001,31.0,8.2
863,2009-07-03,79.0,62.5,71.0,-1,56.0,62.0,0.0,29.384999999999998,30.055,1.5,18.0,6.15
865,2009-07-04,69.0,61.0,65.0,-8,58.0,61.5,0.16,29.285,29.985,2.6,13.5,4.25
867,2009-07-05,81.5,59.0,70.5,-3,58.5,63.5,0.04,29.225,29.91,0.5,35.0,2.5
869,2009-07-06,85.5,61.5,73.5,1,54.0,62.5,0.0,29.17,29.85,5.85,30.5,6.65
871,2009-07-07,76.5,62.0,69.5,-4,54.5,60.5,0.0025,29.21,29.884999999999998,5.9,7.0,7.25
873,2009-07-08,66.5,61.5,64.0,-10,55.5,59.0,0.115,29.310000000000002,29.985,6.9,7.0,7.2
875,2009-07-09,79.5,61.0,70.5,-4,57.5,63.5,0.0,29.380000000000003,30.060000000000002,6.15,10.5,7.1
877,2009-07-10,83.0,65.0,74.5,0,64.5,67.5,0.1,29.375,30.049999999999997,4.0,21.0,4.75
879,2009-07-11,85.0,65.5,75.5,1,59.5,66.0,0.685,29.365000000000002,30.03,5.35,30.0,7.3
881,2009-07-12,82.0,59.0,70.5,-3,50.5,60.0,0.0,29.380000000000003,30.060000000000002,2.4,31.0,5.45
883,2009-07-13,78.5,63.5,71.0,-3,47.0,58.0,0.0,29.384999999999998,30.060000000000002,5.3,7.0,6.6
885,2009-07-14,80.5,57.5,69.5,-5,50.0,59.5,0.0,29.375,30.064999999999998,7.1,16.0,7.6
887,2009-07-15,85.5,66.0,76.0,1,62.0,67.0,0.5,29.205,29.89,10.0,24.5,13.100000000000001
889,2009-07-16,81.0,64.5,73.0,-2,56.5,62.5,0.08750000000000001,29.200000000000003,29.884999999999998,9.75,28.0,10.55
891,2009-07-17,70.0,57.5,64.0,-10,51.5,56.5,0.0025,29.18,29.865000000000002,10.35,29.5,10.600000000000001
893,2009-07-18,72.5,57.5,65.5,-9,52.0,57.5,0.0,29.335,30.005000000000003,7.35,31.5,7.6499999999999995
895,2009-07-19,72.0,58.5,65.5,-10,52.5,58.5,0.0,29.42,30.105,1.35,20.0,4.3
897,2009-07-20,76.0,57.0,67.0,-8,55.5,60.5,0.0,29.39,30.085,5.65,9.5,6.0
899,2009-07-21,81.0,61.0,71.0,-5,56.5,62.5,0.02,29.305,30.0,4.0,13.5,6.05
901,2009-07-22,78.5,64.5,72.0,-3,60.0,64.0,0.0025,29.255000000000003,29.939999999999998,3.15,7.0,5.45
903,2009-07-23,80.5,62.5,71.5,-2,59.0,63.5,0.05,29.235,29.92,2.15,16.5,5.5
905,2009-07-24,83.0,61.5,72.5,-2,59.5,64.5,0.165,29.11,29.825,8.8,23.0,9.7
907,2009-07-25,81.0,66.0,74.0,0,58.5,64.5,0.0025,29.049999999999997,29.72,10.7,27.5,11.3
909,2009-07-26,82.0,63.5,73.0,-1,58.5,64.5,0.0025,29.155,29.810000000000002,8.55,29.0,9.0
911,2009-07-27,84.0,65.0,74.5,0,61.0,66.5,0.025,29.17,29.855,9.25,23.0,9.85
913,2009-07-28,85.0,67.0,76.0,1,61.0,66.5,0.01,29.104999999999997,29.775,6.45,28.0,7.85
915,2009-07-29,80.0,64.0,72.5,-2,51.5,60.0,0.0,29.16,29.83,4.0,19.0,7.1
917,2009-07-30,79.5,62.0,71.0,-5,57.0,62.5,0.005,29.174999999999997,29.845,4.65,23.5,5.9
919,2009-07-31,81.5,60.0,71.0,-4,54.5,61.5,0.0,29.259999999999998,29.93,6.050000000000001,26.5,7.0
921,2009-08-01,75.0,62.0,68.5,-5,59.0,62.5,0.0075,29.21,29.905,11.1,22.5,10.95
923,2009-08-02,78.5,57.5,68.5,-5,51.5,59.0,0.0,29.23,29.925,6.5,25.5,9.0
925,2009-08-03,85.0,67.5,76.5,3,60.5,66.0,0.065,29.135,29.814999999999998,11.6,21.0,11.850000000000001
927,2009-08-04,85.5,68.0,77.0,3,62.0,67.5,0.0,29.19,29.86,2.15,3.5,6.0
929,2009-08-05,79.0,63.5,71.5,-3,55.0,62.0,0.0,29.369999999999997,30.04,3.3499999999999996,6.0,4.9
931,2009-08-06,81.5,61.0,71.5,-2,51.0,60.0,0.0,29.415,30.085,2.4,7.5,5.45
933,2009-08-07,74.0,65.5,70.0,-4,59.0,63.0,0.28,29.384999999999998,30.085,6.85,15.0,7.5
935,2009-08-08,89.0,68.5,79.0,6,70.0,73.0,0.05,29.23,29.92,12.55,21.0,13.2
